"spkid","full_name","neo","pha","diameter","per","first_obs","last_obs","H"
20000433,"   433 Eros (A898 PA)",Y,N,16.84,643,1893-10-29,2021-05-13,10.40
20000719,"   719 Albert (A911 TB)",Y,N,,1.56e+03,1911-10-04,2026-05-22,15.59
20000887,"   887 Alinda (A918 AA)",Y,N,4.2,1.42e+03,1918-02-09,2025-08-27,13.82
20001036,"  1036 Ganymed (A924 UB)",Y,N,37.675,1.59e+03,1924-10-23,2026-06-30,9.17
20001221,"  1221 Amor (1932 EA1)",Y,N,1.0,972,1932-03-12,2025-02-19,17.37
20001566,"  1566 Icarus (1949 MA)",Y,Y,1.0,409,1949-07-01,2025-08-18,16.53
20001580,"  1580 Betulia (1950 KA)",Y,N,5.8,1.19e+03,1952-10-27,2025-12-25,14.54
20001620,"  1620 Geographos (1951 RA)",Y,Y,2.56,508,1951-09-14,2026-08-27,15.27
20001627,"  1627 Ivar (1929 SH)",Y,N,9.12,929,1929-09-25,2026-08-24,12.79
20001685,"  1685 Toro (1948 OA)",Y,N,3.4,584,1948-07-17,2026-08-27,14.26
20001862,"  1862 Apollo (1932 HA)",Y,Y,1.5,651,1930-12-13,2026-04-15,16.09
20001863,"  1863 Antinous (1948 EA)",Y,N,2.1,1.24e+03,1948-03-05,2026-08-25,15.32
20001864,"  1864 Daedalus (1971 FA)",Y,N,3.7,645,1971-03-24,2026-04-04,14.83
20001865,"  1865 Cerberus (1971 UA)",Y,N,1.2,410,1971-11-10,2026-08-22,16.77
20001866,"  1866 Sisyphus (1972 XA)",Y,N,8.48,952,1955-01-26,2026-08-09,12.47
20001915,"  1915 Quetzalcoatl (1953 EA)",Y,N,0.5,1.48e+03,1953-03-09,2020-10-25,18.38
20001916,"  1916 Boreas (1953 RA)",Y,N,3.5,1.25e+03,1953-09-01,2026-04-06,14.93
20001917,"  1917 Cuyo (1968 AA)",Y,N,5.7,1.15e+03,1954-05-06,2026-06-14,14.38
20001943,"  1943 Anteros (1973 EC)",Y,N,2.3,625,1973-03-10,2026-08-26,15.66
20001980,"  1980 Tezcatlipoca (1950 LA)",Y,N,4.3,816,1950-06-19,2026-08-27,13.80
20001981,"  1981 Midas (1973 EA)",Y,Y,3.4,865,1973-03-06,2026-01-02,15.28
20002059,"  2059 Baboquivari (1963 UA)",Y,N,,1.57e+03,1963-11-09,2026-05-12,15.98
20002061,"  2061 Anza (1960 UA)",Y,N,2.6,1.25e+03,1960-10-22,2026-03-22,16.70
20002062,"  2062 Aten (1976 AA)",Y,N,1.1,347,1955-12-17,2019-11-10,17.11
20002063,"  2063 Bacchus (1977 HB)",Y,N,1.024,409,1977-04-24,2025-06-15,17.21
20002100,"  2100 Ra-Shalom (1978 RA)",Y,N,2.3,277,1975-10-03,2026-08-24,16.24
20002101,"  2101 Adonis (1936 CA)",Y,Y,0.6,937,1936-02-21,2025-07-19,18.69
20002102,"  2102 Tantalus (1975 YA)",Y,Y,1.649,535,1976-01-02,2026-08-08,15.99
20002135,"  2135 Aristaeus (1977 HA)",Y,Y,,739,1977-04-17,2020-05-30,18.05
20002201,"  2201 Oljato (1947 XC)",Y,Y,1.80,1.17e+03,1931-12-03,2025-10-05,15.32
20002202,"  2202 Pele (1972 RA)",Y,N,,1.27e+03,1972-09-07,2025-03-23,16.99
20002212,"  2212 Hephaistos (1978 SB)",Y,N,5.7,1.17e+03,1978-09-27,2026-08-27,13.45
20002329,"  2329 Orthos (1976 WA)",Y,N,,1.37e+03,1976-05-31,2026-03-04,14.57
20002340,"  2340 Hathor (1976 UA)",Y,Y,0.3,283,1976-10-25,2021-12-05,20.41
20002368,"  2368 Beltrovata (1977 RA)",Y,N,2.3,1.12e+03,1977-09-04,2026-08-27,15.18
20002608,"  2608 Seneca (1978 DA)",Y,N,0.9,1.47e+03,1978-02-17,2022-09-18,17.48
20003102,"  3102 Krok (1981 QA)",Y,N,1.6,1.15e+03,1981-08-21,2025-12-10,16.16
20003103,"  3103 Eger (1982 BB)",Y,N,1.5,608,1982-01-21,2026-08-24,15.30
20003122,"  3122 Florence (1981 ET3)",Y,Y,4.9,859,1979-03-09,2026-08-18,14.08
20003199,"  3199 Nefertiti (1982 RA)",Y,N,2.2,722,1982-09-13,2025-07-25,14.99
20003200,"  3200 Phaethon (1983 TB)",Y,Y,6.25,524,1983-10-27,2026-03-03,14.38
20003271,"  3271 Ul (1982 RB)",Y,N,,1.11e+03,1982-09-14,2026-02-09,16.55
20003288,"  3288 Seleucus (1982 DV)",Y,N,2.8,1.06e+03,1982-02-28,2026-08-20,15.34
20003352,"  3352 McAuliffe (1981 CW)",Y,N,,941,1981-02-06,2026-08-23,15.93
20003360,"  3360 Syrinx (1981 VA)",Y,N,1.8,1.41e+03,1981-11-04,2026-01-09,16.03
20003361,"  3361 Orpheus (1982 HR)",Y,Y,0.3,486,1982-04-24,2026-06-22,19.50
20003362,"  3362 Khufu (1984 QA)",Y,Y,0.7,360,1984-08-30,2004-11-27,18.52
20003551,"  3551 Verenia (1983 RD)",Y,N,0.9,1.11e+03,1983-09-07,2025-06-26,16.72
20003552,"  3552 Don Quixote (1983 SA)",Y,N,19.0,3.22e+03,1983-09-10,2026-06-25,13.02
20003553,"  3553 Mera (1985 JA)",Y,N,,770,1985-05-11,2025-07-26,16.41
20003554,"  3554 Amun (1986 EB)",Y,N,3.341,351,1986-03-04,2019-02-23,15.91
20003671,"  3671 Dionysus (1984 KD)",Y,Y,1.5,1.19e+03,1984-05-27,2026-06-21,16.50
20003691,"  3691 Bede (1982 FT)",Y,N,4.3,863,1975-06-09,2026-02-01,14.93
20003752,"  3752 Camillo (1985 PA)",Y,N,2.306,614,1976-01-28,2025-10-02,15.14
